ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,001",7010,6,Mather CampGround,Pets Allowed,36.050649,16 Back-In
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,002",7010,6,Mather CampGround,Pets Allowed,36.050649,16 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,003",7010,6,Mather CampGround,Pets Allowed,36.050649,16 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,004",7010,6,Mather CampGround,Pets Allowed,36.050649,16 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,005",7010,6,Mather CampGround,Pets Allowed,36.050649,16 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,006",7010,6,Mather CampGround,Pets Allowed,36.050649,16 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,007",7010,6,Mather CampGround,Pets Allowed,36.050649,16 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,008",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,009",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,010",7010,6,Mather CampGround,Pets Allowed,36.050649, Back-In
GrandCanyon,4.6,RV NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,011",7010,6,Mather CampGround,Pets Allowed,36.050649,30 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,012",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,013",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,014",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,015",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,016",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,018",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,019",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,021",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,022",7010,6,Mather CampGround,Pets Allowed,36.050649, Back-In
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,026",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,027",7010,6,Mather CampGround,Pets Allowed,36.050649,20 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,028",7010,6,Mather CampGround,Pets Allowed,36.050649,20 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,029",7010,6,Mather CampGround,Pets Allowed,36.050649,0 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,030",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Back-In
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,058",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,059",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,RV NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,060",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,061",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,062",7010,6,Mather CampGround,Pets Allowed,36.050649,19 Pull-Through
GrandCanyon,4.6,RV NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,063",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,064",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,065",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,RV NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,066",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,RV NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,067",7010,6,Mather CampGround,Pets Allowed,36.050649,25 Pull-Through
GrandCanyon,4.6,RV NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,068",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,RV NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,069",7010,6,Mather CampGround,Pets Allowed,36.050649,30 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,070",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,071",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,073",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,074",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,075",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,076",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,031",7010,6,Mather CampGround,Pets Allowed,36.050649,20 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,077",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,078",7010,6,Mather CampGround,Pets Allowed,36.050649, Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,079",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,080",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,081",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,082",7010,6,Mather CampGround,Pets Allowed,36.050649,20 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,135",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,032",7010,6,Mather CampGround,Pets Allowed,36.050649,20 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,033",7010,6,Mather CampGround,Pets Allowed,36.050649,20 Pull-Through
GrandCanyon,4.6,RV NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,034",7010,6,Mather CampGround,Pets Allowed,36.050649,30 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,035",7010,6,Mather CampGround,Pets Allowed,36.050649,19 Pull-Through
GrandCanyon,4.6,RV NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,036",7010,6,Mather CampGround,Pets Allowed,36.050649,30 Pull-Through
GrandCanyon,4.6,RV NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,037",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Fir Loop (Sites 60-106),-112.12115,"Map
,083",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,136",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,137",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,141",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,143",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,144",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,145",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Maple Loop (Sites 185-200) ,-112.12115,"Map
,189",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,038",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,RV NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,039",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,040",7010,6,Mather CampGround,Pets Allowed,36.050649,0 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,041",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,042",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,RV NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,043",7010,6,Mather CampGround,Pets Allowed,36.050649,25 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,044",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,109",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Back-In
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,146",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,147",7010,6,Mather CampGround,Pets Allowed,36.050649,19 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,148",7010,6,Mather CampGround,Pets Allowed,36.050649,19 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,149",7010,6,Mather CampGround,Pets Allowed,36.050649,19 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,150",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Maple Loop (Sites 185-200) ,-112.12115,"Map
,190",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Maple Loop (Sites 185-200) ,-112.12115,"Map
,191",7010,6,Mather CampGround,Pets Allowed,36.050649,25 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Maple Loop (Sites 185-200) ,-112.12115,"Map
,192",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Maple Loop (Sites 185-200) ,-112.12115,"Map
,193",7010,6,Mather CampGround,Pets Allowed,36.050649,19 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Maple Loop (Sites 185-200) ,-112.12115,"Map
,194",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Maple Loop (Sites 185-200) ,-112.12115,"Map
,195",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Maple Loop (Sites 185-200) ,-112.12115,"Map
,196",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,045",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,046",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,047",7010,6,Mather CampGround,Pets Allowed,36.050649,
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,048",7010,6,Mather CampGround,Pets Allowed,36.050649, Back-In
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,049",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Aspen Loop (Sites 1-59),-112.12115,"Map
,050",7010,6,Mather CampGround,Pets Allowed,36.050649,27 Pull-Through
GrandCanyon,4.6,STANDARD NONELECTRIC,Oak Loop (Sites 201-264) ,-112.12115,"Map
,214",7010,6,Mather CampGround,Pets Allowed,36.050649,15 Pull-Through
GrandCanyon,4.6,RV NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,110",7010,6,Mather CampGround,Pets Allowed,36.050649,30 Pull-Through
GrandCanyon,4.6,TENT ONLY NONELECTRIC,Juniper Loop (Sites 107-184) ,-112.12115,"Map
,111",7010,6,Mather CampGround,Pets Allowed,36.050649, Back-In
