ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,001",257,6,NorthCampground,Pets Allowed - no,37.635203,32 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,002",257,6,NorthCampground,Pets Allowed - no,37.635203,40 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,003",257,6,NorthCampground,Pets Allowed - no,37.635203,35 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,004",257,6,NorthCampground,Pets Allowed - no,37.635203,45 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,005",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,006",257,6,NorthCampground,Pets Allowed - no,37.635203,32 Back-In
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,007",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,008",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,009",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,010",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,011",257,6,NorthCampground,Pets Allowed - no,37.635203,45 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,012",257,6,NorthCampground,Pets Allowed - no,37.635203,45 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,013",257,6,NorthCampground,Pets Allowed - no,37.635203,40 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,014",257,6,NorthCampground,Pets Allowed - no,37.635203,50 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,015",257,6,NorthCampground,Pets Allowed - no,37.635203,50 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,016",257,6,NorthCampground,Pets Allowed - no,37.635203,32 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,017",257,6,NorthCampground,Pets Allowed - no,37.635203,35 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,018",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,019",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,020",257,6,NorthCampground,Pets Allowed - no,37.635203,40 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,021",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,022",257,6,NorthCampground,Pets Allowed - no,37.635203,30 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,023",257,6,NorthCampground,Pets Allowed - no,37.635203,35 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,024",257,6,NorthCampground,Pets Allowed - no,37.635203,35 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop A,-112.166903,"Map
,025",257,6,NorthCampground,Pets Allowed - no,37.635203,40 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop B,-112.166903,"Map
,054",257,6,NorthCampground,Pets Allowed - no,37.635203,45 Pull-Through
Bryce Canyon,4.6,RV NONELECTRIC,Loop B,-112.166903,"Map
,055",257,6,NorthCampground,Pets Allowed - no,37.635203,45 Back-In
Bryce Canyon,4.6,TENT ONLY NONELECTRIC,Loop C,-112.166903,"Map
,057",257,6,NorthCampground,Pets Allowed - no,37.635203,20 Back-In
